dataset_name,nmi,ari,acc,Combination
Orchards,0.0,0.0,0.501,dilated_cnn-vae-VADE
Sud,0.0,0.0,0.44341,dilated_cnn-vae-VADE
full,0.0,0.0,0.51517,dilated_cnn-vae-VADE
full,0.03123,0.00774,0.5455,dilated_cnn-vae-None
Orchards,0.55698,0.6305,0.89703,dilated_rnn-reconstruction-DEC
Orchards,0.53777,0.6249,0.89526,dilated_rnn-reconstruction-DEPICT
Orchards,0.43352,0.53389,0.86535,dilated_rnn-reconstruction-IDEC
Orchards,0.15171,0.14505,0.69045,dilated_rnn-reconstruction-None
Orchards,0.12434,0.13735,0.68532,dilated_rnn-tripletK10-DEC
Orchards,0.2513,0.32754,0.78617,dilated_rnn-tripletK10-DEPICT
Orchards,0.09629,0.10961,0.66556,dilated_rnn-tripletK10-DTCR
Orchards,0.14138,0.16977,0.70604,dilated_rnn-tripletK10-IDEC
Orchards,0.08397,0.09091,0.65079,dilated_rnn-tripletK10-None
Orchards,0.1272,0.15587,0.69743,dilated_rnn-tripletK1-DEC
Orchards,0.12082,0.15466,0.69666,dilated_rnn-tripletK1-DEPICT
Orchards,0.09796,0.10091,0.65886,dilated_rnn-tripletK1-DTCR
Orchards,0.05772,0.05144,0.61344,dilated_rnn-tripletK1-IDEC
Orchards,0.09133,0.09361,0.65301,dilated_rnn-tripletK1-None
Orchards,0.20084,0.24698,0.7485,dilated_rnn-tripletK2-DEC
Orchards,0.1692,0.16613,0.70382,dilated_rnn-tripletK2-DEPICT
Orchards,0.19725,0.24789,0.74896,dilated_rnn-tripletK2-DTCR
Orchards,0.08084,0.0428,0.60347,dilated_rnn-tripletK2-IDEC
Orchards,0.00055,0.00067,0.51332,dilated_rnn-tripletK2-None
Orchards,0.12871,0.14182,0.68832,dilated_rnn-tripletK5-DEC
Orchards,0.0728,0.09377,0.65315,dilated_rnn-tripletK5-DEPICT
Orchards,0.00087,0.00114,0.51722,dilated_rnn-tripletK5-DTCR
Orchards,0.10752,0.06737,0.6298,dilated_rnn-tripletK5-IDEC
Orchards,0.0571,0.0512,0.61317,dilated_rnn-tripletK5-None
Meadow,0.05106,0.0683,0.63071,fcnn-joint-DEC
Orchards,0.36081,0.42806,0.82714,fcnn-joint-DEC
Sud,0.53806,0.43726,0.49245,fcnn-joint-DEC
full,0.23342,0.19146,0.71891,fcnn-joint-DEC
Meadow,0.04871,0.06596,0.62845,fcnn-joint-DEPICT
Orchards,0.24701,0.31653,0.78132,fcnn-joint-DEPICT
Sud,0.5356,0.41072,0.52214,fcnn-joint-DEPICT
full,0.08257,0.10077,0.65881,fcnn-joint-DEPICT
Meadow,0.0242,0.03569,0.59501,fcnn-joint-DTCR
Orchards,0.00604,0.00528,0.53644,fcnn-joint-DTCR
Sud,0.0,0.0,0.44341,fcnn-joint-DTCR
full,0.02951,0.02931,0.5858,fcnn-joint-DTCR
Meadow,0.04797,0.06326,0.62581,fcnn-joint-IDEC
Orchards,0.37889,0.45101,0.8358,fcnn-joint-IDEC
Sud,0.53965,0.38763,0.44908,fcnn-joint-IDEC
full,0.14321,0.15635,0.6978,fcnn-joint-IDEC
Meadow,0.04688,0.06314,0.62568,fcnn-joint-None
Orchards,0.36642,0.43676,0.83045,fcnn-joint-None
Sud,0.55993,0.45865,0.52548,fcnn-joint-None
full,0.27369,0.18878,0.7174,fcnn-joint-None
Meadow,0.17011,0.22852,0.73905,fcnn-reconstruction-DEC
Orchards,0.48185,0.54187,0.86807,fcnn-reconstruction-DEC
